         8989361 function calls (8986958 primitive calls) in 11.538 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    9.226    1.153    9.583    1.198 allocate_registers.py:204(build_register_graph)
  2828654    0.436    0.000    0.436    0.000 {hasattr}
      390    0.289    0.001    1.204    0.003 allocate_registers.py:124(spill_register)
   933660    0.289    0.000    0.646    0.000 allocate_registers.py:189(is_operand)
   410875    0.241    0.000    0.241    0.000 {range}
        8    0.240    0.030    1.553    0.194 allocate_registers.py:16(allocate_registers)
       15    0.227    0.015    0.289    0.019 basic_blocks.py:186(computeLiveSets)
   933660    0.196    0.000    0.267    0.000 allocate_registers.py:198(is_assignee)
   817652    0.093    0.000    0.093    0.000 {method 'add' of 'set' objects}
  1591638    0.067    0.000    0.067    0.000 {len}
   412027    0.047    0.000    0.047    0.000 {method 'discard' of 'set' objects}
   808227    0.036    0.000    0.036    0.000 {method 'has_key' of 'dict' objects}
     4011    0.017    0.000    0.017    0.000 {method 'keys' of 'dict' objects}
        1    0.014    0.014   11.503   11.503 main.py:412(get_methods_string)
     7892    0.009    0.000    0.009    0.000 {method 'pop' of 'list' objects}
      807    0.009    0.000    0.015    0.000 tac_to_asm.py:524(gen_asm_for_new_boxed_type)
     2797    0.007    0.000    0.035    0.000 tac_to_asm.py:847(gen_asm_for_tac_instr)
    77490    0.007    0.000    0.007    0.000 {isinstance}
     6842    0.006    0.000    0.006    0.000 copy.py:113(_copy_with_constructor)
        1    0.006    0.006   11.482   11.482 main.py:454(ast_method_to_asm)
     7599    0.006    0.000    0.006    0.000 {method 'insert' of 'list' objects}
  1633/31    0.005    0.000    0.020    0.001 deserialize_ast.py:40(exp_from_input)
     6842    0.005    0.000    0.012    0.000 copy.py:66(copy)
    802/1    0.004    0.000    0.011    0.011 ast_to_tac.py:74(gen_tac_for_exp)
        1    0.004    0.004    0.027    0.027 deserialize_ast.py:445(get_input_list_from_annotated_ast)
        1    0.004    0.004   11.538   11.538 main.py:2(<module>)
     2491    0.003    0.000    0.007    0.000 deserialize_ast.py:8(next_int)
    40409    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     7358    0.002    0.000    0.002    0.000 asm_objects.py:127(__init__)
     7379    0.002    0.000    0.002    0.000 asm_objects.py:119(__init__)
      800    0.002    0.000    0.003    0.000 ast_to_tac.py:69(gen_tac_for_unbox)
     3395    0.002    0.000    0.007    0.000 deserialize_ast.py:12(next_string)
      800    0.002    0.000    0.003    0.000 tac_to_asm.py:544(gen_asm_for_tac_unbox)
     7379    0.002    0.000    0.002    0.000 asm_objects.py:122(__str__)
     7358    0.002    0.000    0.002    0.000 asm_objects.py:130(__str__)
     6154    0.002    0.000    0.002    0.000 asm_objects.py:213(__str__)
     2405    0.001    0.000    0.001    0.000 ast_to_tac.py:18(new_symbol)
     5886    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2946    0.001    0.000    0.001    0.000 asm_objects.py:43(__str__)
        7    0.001    0.000    0.002    0.000 basic_blocks.py:7(__init__)
        7    0.001    0.000    0.004    0.001 basic_blocks.py:158(buildBasicBlocks)
        8    0.001    0.000    0.001    0.000 {zip}
      400    0.001    0.000    0.009    0.000 tac_to_asm.py:512(gen_asm_for_tac_box)
        7    0.001    0.000    0.036    0.005 tac_to_asm.py:988(gen_asm_for_block_list)
     4200    0.001    0.000    0.001    0.000 asm_objects.py:30(__init__)
      401    0.001    0.000    0.009    0.000 tac_to_asm.py:59(gen_asm_for_tac_const_int)
     4790    0.001    0.000    0.001    0.000 tac_to_asm.py:45(get_asm_register)
        8    0.001    0.000    0.001    0.000 allocate_registers.py:172(combine_block_live_ranges)
     6154    0.001    0.000    0.001    0.000 asm_objects.py:210(__init__)
     6842    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      400    0.001    0.000    0.001    0.000 tac_to_asm.py:307(gen_asm_for_tac_plus)
     8014    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 ast_nodes.py:1(<module>)
      802    0.001    0.000    0.001    0.000 ast_nodes.py:390(__init__)
      390    0.001    0.000    0.001    0.000 tac_to_asm.py:226(gen_asm_for_tac_load)
      390    0.001    0.000    0.001    0.000 tac_to_asm.py:215(gen_asm_for_tac_store)
        1    0.001    0.001    0.001    0.001 asm_objects.py:29(<module>)
      400    0.001    0.000    0.001    0.000 ast_to_tac.py:64(gen_tac_for_box)
